UNIPROT_ID	Name	Species
VATB1_HUMAN	ATPase H+ transporting V1 subunit B1(ATP6V1B1)	Homo sapiens
TCP1L_HUMAN	t-complex 10-like(TCP10L)	Homo sapiens
NUMA1_HUMAN	nuclear mitotic apparatus protein 1(NUMA1)	Homo sapiens
VATB2_HUMAN	ATPase H+ transporting V1 subunit B2(ATP6V1B2)	Homo sapiens
ROR2_HUMAN	receptor tyrosine kinase like orphan receptor 2(ROR2)	Homo sapiens
DDR2_HUMAN	discoidin domain receptor tyrosine kinase 2(DDR2)	Homo sapiens
KCNKI_HUMAN	potassium two pore domain channel subfamily K member 18(KCNK18)	Homo sapiens
CV031_HUMAN	chromosome 22 open reading frame 31(C22orf31)	Homo sapiens
NRCAM_HUMAN	neuronal cell adhesion molecule(NRCAM)	Homo sapiens
VATE1_HUMAN	ATPase H+ transporting V1 subunit E1(ATP6V1E1)	Homo sapiens
TM198_HUMAN	transmembrane protein 198(TMEM198)	Homo sapiens
FEM1C_HUMAN	fem-1 homolog C(FEM1C)	Homo sapiens
NRDC_HUMAN	nardilysin convertase(NRDC)	Homo sapiens
OAZ1_HUMAN	ornithine decarboxylase antizyme 1(OAZ1)	Homo sapiens
OPSB_HUMAN	opsin 1 (cone pigments), short-wave-sensitive(OPN1SW)	Homo sapiens
CELF4_HUMAN	CUGBP, Elav-like family member 4(CELF4)	Homo sapiens
SPDEF_HUMAN	SAM pointed domain containing ETS transcription factor(SPDEF)	Homo sapiens
LMOD1_HUMAN	leiomodin 1(LMOD1)	Homo sapiens
OMD_HUMAN	osteomodulin(OMD)	Homo sapiens
VAX2_HUMAN	ventral anterior homeobox 2(VAX2)	Homo sapiens
ODFP2_HUMAN	outer dense fiber of sperm tails 2(ODF2)	Homo sapiens
SP8_HUMAN	Sp8 transcription factor(SP8)	Homo sapiens
NUP98_HUMAN	nucleoporin 98(NUP98)	Homo sapiens
TTC5_HUMAN	tetratricopeptide repeat domain 5(TTC5)	Homo sapiens
SAM50_HUMAN	SAMM50 sorting and assembly machinery component(SAMM50)	Homo sapiens
CLH2_HUMAN	clathrin heavy chain like 1(CLTCL1)	Homo sapiens
CEAM1_HUMAN	carcinoembryonic antigen related cell adhesion molecule 1(CEACAM1)	Homo sapiens
UGGG1_HUMAN	UDP-glucose glycoprotein glucosyltransferase 1(UGGT1)	Homo sapiens
FSTL5_HUMAN	follistatin like 5(FSTL5)	Homo sapiens
HECD1_HUMAN	HECT domain E3 ubiquitin protein ligase 1(HECTD1)	Homo sapiens
OPHN1_HUMAN	oligophrenin 1(OPHN1)	Homo sapiens
BBS4_HUMAN	Bardet-Biedl syndrome 4(BBS4)	Homo sapiens
BCAT1_HUMAN	branched chain amino acid transaminase 1(BCAT1)	Homo sapiens
NIPBL_HUMAN	NIPBL, cohesin loading factor(NIPBL)	Homo sapiens
COG4_HUMAN	component of oligomeric golgi complex 4(COG4)	Homo sapiens
CHLE_HUMAN	butyrylcholinesterase(BCHE)	Homo sapiens
USP9X_HUMAN	ubiquitin specific peptidase 9, X-linked(USP9X)	Homo sapiens
SMC1A_HUMAN	structural maintenance of chromosomes 1A(SMC1A)	Homo sapiens
MIME_HUMAN	osteoglycin(OGN)	Homo sapiens
LUZP2_HUMAN	leucine zipper protein 2(LUZP2)	Homo sapiens
F149A_HUMAN	family with sequence similarity 149 member A(FAM149A)	Homo sapiens
BCL9_HUMAN	B-cell CLL/lymphoma 9(BCL9)	Homo sapiens
BTD_HUMAN	biotinidase(BTD)	Homo sapiens
PI51B_HUMAN	phosphatidylinositol-4-phosphate 5-kinase type 1 beta(PIP5K1B)	Homo sapiens
BST1_HUMAN	bone marrow stromal cell antigen 1(BST1)	Homo sapiens
TMPS3_HUMAN	transmembrane protease, serine 3(TMPRSS3)	Homo sapiens
OVGP1_HUMAN	oviductal glycoprotein 1(OVGP1)	Homo sapiens
DDTL_HUMAN	D-dopachrome tautomerase-like(DDTL)	Homo sapiens
OTX2_HUMAN	orthodenticle homeobox 2(OTX2)	Homo sapiens
H90B4_HUMAN	heat shock protein 90 alpha family class B member 4, pseudogene(HSP90AB4P)	Homo sapiens
OTX1_HUMAN	orthodenticle homeobox 1(OTX1)	Homo sapiens
ASB9_HUMAN	ankyrin repeat and SOCS box containing 9(ASB9)	Homo sapiens
EEA1_HUMAN	early endosome antigen 1(EEA1)	Homo sapiens
TAGL2_HUMAN	transgelin 2(TAGLN2)	Homo sapiens
SPRL1_HUMAN	SPARC like 1(SPARCL1)	Homo sapiens
PLPP_HUMAN	pyridoxal phosphatase(PDXP)	Homo sapiens
PAI1_HUMAN	serpin family E member 1(SERPINE1)	Homo sapiens
LTBP4_HUMAN	latent transforming growth factor beta binding protein 4(LTBP4)	Homo sapiens
LIS1_HUMAN	platelet activating factor acetylhydrolase 1b regulatory subunit 1(PAFAH1B1)	Homo sapiens
CASC5_HUMAN	kinetochore scaffold 1(KNL1)	Homo sapiens
ZN845_HUMAN	zinc finger protein 845(ZNF845)	Homo sapiens
PCSK6_HUMAN	proprotein convertase subtilisin/kexin type 6(PCSK6)	Homo sapiens
DYRK3_HUMAN	dual specificity tyrosine phosphorylation regulated kinase 3(DYRK3)	Homo sapiens
PEBP1_HUMAN	phosphatidylethanolamine binding protein 1(PEBP1)	Homo sapiens
PMGE_HUMAN	bisphosphoglycerate mutase(BPGM)	Homo sapiens
CBPO_HUMAN	carboxypeptidase O(CPO)	Homo sapiens
PDIA1_HUMAN	prolyl 4-hydroxylase subunit beta(P4HB)	Homo sapiens
DDX24_HUMAN	DEAD-box helicase 24(DDX24)	Homo sapiens
CNTN4_HUMAN	contactin 4(CNTN4)	Homo sapiens
DPP2_HUMAN	dipeptidyl peptidase 7(DPP7)	Homo sapiens
RECK_HUMAN	reversion inducing cysteine rich protein with kazal motifs(RECK)	Homo sapiens
PSMG2_HUMAN	proteasome assembly chaperone 2(PSMG2)	Homo sapiens
DTWD1_HUMAN	DTW domain containing 1(DTWD1)	Homo sapiens
CTL3_HUMAN	solute carrier family 44 member 3(SLC44A3)	Homo sapiens
CC136_HUMAN	coiled-coil domain containing 136(CCDC136)	Homo sapiens
FZD9_HUMAN	frizzled class receptor 9(FZD9)	Homo sapiens
AMD_HUMAN	peptidylglycine alpha-amidating monooxygenase(PAM)	Homo sapiens
CNTN3_HUMAN	contactin 3(CNTN3)	Homo sapiens
AT7L3_HUMAN	ataxin 7 like 3(ATXN7L3)	Homo sapiens
CAH2_HUMAN	carbonic anhydrase 2(CA2)	Homo sapiens
CAH3_HUMAN	carbonic anhydrase 3(CA3)	Homo sapiens
REG3A_HUMAN	regenerating family member 3 alpha(REG3A)	Homo sapiens
CAH1_HUMAN	carbonic anhydrase 1(CA1)	Homo sapiens
C1QB_HUMAN	complement C1q B chain(C1QB)	Homo sapiens
C1QA_HUMAN	complement C1q A chain(C1QA)	Homo sapiens
AK1BA_HUMAN	aldo-keto reductase family 1 member B10(AKR1B10)	Homo sapiens
C1QC_HUMAN	complement C1q C chain(C1QC)	Homo sapiens
CO2_HUMAN	complement C2(C2)	Homo sapiens
C1S_HUMAN	complement C1s(C1S)	Homo sapiens
