ID	Gene Name	Species
VPS39_HUMAN	VPS39, HOPS complex subunit(VPS39)	Homo sapiens	
VPS54_HUMAN	VPS54, GARP complex subunit(VPS54)	Homo sapiens	
WDR1_HUMAN	WD repeat domain 1(WDR1)	Homo sapiens	
WDR35_HUMAN	WD repeat domain 35(WDR35)	Homo sapiens	
WIPI3_HUMAN	WD repeat domain 45B(WDR45B)	Homo sapiens	
WNK1_HUMAN	WNK lysine deficient protein kinase 1(WNK1)	Homo sapiens	
WNK2_HUMAN	WNK lysine deficient protein kinase 2(WNK2)	Homo sapiens	
XKR5_HUMAN	XK related 5(XKR5)	Homo sapiens	
XKR2_HUMAN	XK related, X-linked(XKRX)	Homo sapiens	
YETS2_HUMAN	YEATS domain containing 2(YEATS2)	Homo sapiens	
ZFP28_HUMAN	ZFP28 zinc finger protein(ZFP28)	Homo sapiens	
ZFP82_HUMAN	ZFP82 zinc finger protein(ZFP82)	Homo sapiens	
ZFP90_HUMAN	ZFP90 zinc finger protein(ZFP90)	Homo sapiens	
ZIC2_HUMAN	Zic family member 2(ZIC2)	Homo sapiens	
AB12B_HUMAN	abhydrolase domain containing 12B(ABHD12B)	Homo sapiens	
ACRC_HUMAN	acidic repeat containing(ACRC)	Homo sapiens	
ACTS_HUMAN	actin, alpha 1, skeletal muscle(ACTA1)	Homo sapiens	
ACTBL_HUMAN	actin, beta like 2(ACTBL2)	Homo sapiens	
ACBD6_HUMAN	acyl-CoA binding domain containing 6(ACBD6)	Homo sapiens	
ACD10_HUMAN	acyl-CoA dehydrogenase family member 10(ACAD10)	Homo sapiens	
ACAD9_HUMAN	acyl-CoA dehydrogenase family member 9(ACAD9)	Homo sapiens	
ADAL_HUMAN	adenosine deaminase like(ADAL)	Homo sapiens	
GP126_HUMAN	adhesion G protein-coupled receptor G6(ADGRG6)	Homo sapiens	
GPR98_HUMAN	adhesion G protein-coupled receptor V1(ADGRV1)	Homo sapiens	
APMAP_HUMAN	adipocyte plasma membrane associated protein(APMAP)	Homo sapiens	
AVIL_HUMAN	advillin(AVIL)	Homo sapiens	
AFAM_HUMAN	afamin(AFM)	Homo sapiens	
PGCA_HUMAN	aggrecan(ACAN)	Homo sapiens	
ALPK3_HUMAN	alpha kinase 3(ALPK3)	Homo sapiens	
AMBP_HUMAN	alpha-1-microglobulin/bikunin precursor(AMBP)	Homo sapiens	
ZA2G_HUMAN	alpha-2-glycoprotein 1, zinc-binding(AZGP1)	Homo sapiens	
A2ML1_HUMAN	alpha-2-macroglobulin like 1(A2ML1)	Homo sapiens	
AMNLS_HUMAN	amnion associated transmembrane protein(AMN)	Homo sapiens	
SAMP_HUMAN	amyloid P component, serum(APCS)	Homo sapiens	
ANGI_HUMAN	angiogenin(ANG)	Homo sapiens	
ANGL3_HUMAN	angiopoietin like 3(ANGPTL3)	Homo sapiens	
